"comment","comment_sentiment_category","hotel_name","month","year","rating_score","rating_category"
"Mr","neutral","Avani Hotel","October","2022","5","positive"
"Business travel","neutral","Avani Hotel","September","2022","4","positive"
"Mr Floyd Kettledas","neutral","Avani Hotel","September","2022","5","positive"
"Amon","neutral","Avani Hotel","July","2022","5","positive"
"Mr","neutral","Avani Hotel","June","2022","5","positive"
"Master","neutral","Avani Hotel","April","2022","5","positive"
"Overall service","neutral","Avani Hotel","June","2021","4","positive"
"Never again!!! Lovely hotel TERRIBLE staff & service ","neutral","Avani Hotel","December","2019","1","negative"
"Namibia I will come back !","neutral","Avani Hotel","November","2019","4","positive"
"Avani Windhoek Hotel & Casino","negative","Avani Hotel","September","2019","4","positive"
"One day to kill in WIndhoek","negative","Avani Hotel","August","2019","5","positive"
"Couple","neutral","Avani Hotel","July","2019","5","positive"
"Comfortable hotel in Windhoek CBD","positive","Avani Hotel","April","2019","4","positive"
"Avani","neutral","Avani Hotel","March","2019","5","positive"
"Avani Windhoek","neutral","Avani Hotel","February","2019","5","positive"
"Concierge","neutral","Avani Hotel","August","2023","5","positive"
"Windhoeks finest service and food","positive","Avani Hotel","February","2022","5","positive"
"Stratos ","neutral","Avani Hotel","November","2023","5","positive"
"Avani Business Stay","neutral","Avani Hotel","September","2022","4","positive"
"Evening at Stratos","neutral","Avani Hotel","February","2023","5","positive"
"Stratos bar","neutral","Avani Hotel","September","2023","5","positive"
"Short hotel stay","neutral","Avani Hotel","October","2022","4","positive"
"Stratos ","neutral","Avani Hotel","January","2023","5","positive"
"Stratos visit.","positive","Avani Hotel","October","2022","5","positive"
"Positive Vibes Trust","positive","Avani Hotel","November","2022","5","positive"
"Good hotel to stay and to look through the city","positive","Avani Hotel","January","2023","5","positive"
"Avani Hotel Visit","positive","Avani Hotel","May","2023","5","positive"
"Very good and neat","positive","Avani Hotel","August","2023","4","positive"
"Business and Facilitation support review. During my stay at Avani I was pleasantly suprised by the support I received.","positive","Avani Hotel","October","2022","4","positive"
"Would go back","neutral","Avani Hotel","March","2023","5","positive"
"Comfortable and well situated","positive","Avani Hotel","November","2023","4","positive"
"Girls night out","neutral","Avani Hotel","August","2022","5","positive"
"Breathtaking Atmosphere","positive","Avani Hotel","January","2023","5","positive"
"Great Service","positive","Avani Hotel","March","2022","4","positive"
"Overnight","neutral","Avani Hotel","December","2019","4","positive"
"Very good","positive","Avani Hotel","January","2020","5","positive"
"Front Office team is very professional and friendly","positive","Avani Hotel","January","2023","5","positive"
"Exceptional service ","positive","Avani Hotel","October","2023","5","positive"
"Really good food and incredible service!","positive","Avani Hotel","August","2022","5","positive"
"A+ Service","neutral","Avani Hotel","August","2022","5","positive"
"Workshop","neutral","Avani Hotel","July","2023","5","positive"
"Great service ","positive","Avani Hotel","January","2023","5","positive"
"Worth every penny","positive","Avani Hotel","January","2023","5","positive"
"Best service","positive","Avani Hotel","October","2022","4","positive"
"Avani Windhoek","neutral","Avani Hotel","February","2023","5","positive"
"Great stays","positive","Avani Hotel","May","2021","4","positive"
"Mr Banza","neutral","Avani Hotel","November","2022","5","positive"
"Stratos","neutral","Avani Hotel","March","2023","5","positive"
"Mr.Da Silva","neutral","Avani Hotel","October","2022","5","positive"
"Mr","neutral","Avani Hotel","June","2022","5","positive"
"Ok but not great","positive","Avani Hotel","July","2022","3","neutral"
"Rejoice and Junias such a pair","positive","Avani Hotel","June","2023","5","positive"
"Nice place to stay","positive","Avani Hotel","June","2023","5","positive"
"Good experience","positive","Avani Hotel","June","2023","5","positive"
"Excellent stay at Avani Namibia","positive","Avani Hotel","September","2022","5","positive"
"The stay was amazing","positive","Avani Hotel","March","2022","5","positive"
"Excellent Service - Very nice helpful staff! ","positive","Avani Hotel","September","2023","5","positive"
"Stratos Rooftop bar","neutral","Avani Hotel","August","2023","4","positive"
"Stratos","neutral","Avani Hotel","July","2022","5","positive"
"Great check I","positive","Avani Hotel","July","2023","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Mr and Mrs Aipinge","neutral","Avani Hotel","February","2023","5","positive"
"Exquisite place to stay. Looking forward for many more returns. I enjoyed my stay without any hiccups and problems.","positive","Avani Hotel","March","2022","5","positive"
"Stylisch ","neutral","Avani Hotel","March","2020","4","positive"
"Conveniently located","positive","Avani Hotel","September","2021","4","positive"
"Ottimo hotel al centro di Windhoek","neutral","Avani Hotel","August","2019","5","positive"
"What a nice surprise","positive","Avani Hotel","April","2019","4","positive"
"AVANI EXPERIENCE","neutral","Avani Hotel","November","2023","4","positive"
"A great stay","positive","Avani Hotel","October","2023","4","positive"
"Excellent Service","positive","Avani Hotel","October","2023","5","positive"
"Excellent Service excellent ","positive","Avani Hotel","September","2023","5","positive"
"Great service at pantry","positive","Avani Hotel","September","2023","5","positive"
"Enjoyment","positive","Avani Hotel","August","2023","5","positive"
"Gents and Whisky Night","neutral","Avani Hotel","June","2023","5","positive"
"Great stay","positive","Avani Hotel","June","2023","5","positive"
"Dm","neutral","Avani Hotel","June","2023","5","positive"
"Very convenient","positive","Avani Hotel","June","2023","5","positive"
"Stratos","neutral","Avani Hotel","May","2023","5","positive"
"Amazing stay","positive","Avani Hotel","April","2023","5","positive"
"excellent and out of this world we will return again for the next workshop","positive","Avani Hotel","March","2023","5","positive"
"Awesome service","positive","Avani Hotel","March","2023","5","positive"
"Roads Authority","positive","Avani Hotel","March","2023","5","positive"
"Stratos","neutral","Avani Hotel","February","2023","5","positive"
"Outstanding service","positive","Avani Hotel","February","2023","4","positive"
"Mr Fernando","neutral","Avani Hotel","January","2023","5","positive"
"NHP","neutral","Avani Hotel","January","2023","5","positive"
"Very good","positive","Avani Hotel","January","2023","5","positive"
"Vote if thanks to David and kylie","positive","Avani Hotel","January","2023","5","positive"
"Rooftop lady","neutral","Avani Hotel","January","2023","5","positive"
"Miss","neutral","Avani Hotel","January","2023","5","positive"
"Mondjila Project Advisory and Management","positive","Avani Hotel","December","2022","5","positive"
"Best ever","positive","Avani Hotel","November","2022","5","positive"
"Namdeb","neutral","Avani Hotel","November","2022","5","positive"
"Great check in","positive","Avani Hotel","November","2022","5","positive"
"Business","neutral","Avani Hotel","October","2022","5","positive"
"Miss","neutral","Avani Hotel","October","2022","5","positive"
"under the ministry of finance  excellent from dunes restaurant from staff","positive","Avani Hotel","October","2022","5","positive"
"Good conference venue and good hospitality in Namibia","positive","Avani Hotel","October","2022","5","positive"
"Thank you Avani hotel for giving the greatest service of all. I’m delighted to have such professionals all around hotel","positive","Avani Hotel","October","2022","5","positive"
"Ministry of health IAEA","neutral","Avani Hotel","October","2022","5","positive"
"Business","neutral","Avani Hotel","September","2022","4","positive"
"Mr Mattie Ndamekele","neutral","Avani Hotel","August","2022","5","positive"
"Linso Davids","neutral","Avani Hotel","July","2022","5","positive"
"Shivute","neutral","Avani Hotel","June","2022","5","positive"
"Mrs","neutral","Avani Hotel","April","2022","5","positive"
"Honeymoon suite","positive","Avani Hotel","April","2021","5","positive"
"FIRST WINDHOEK VISIT","positive","Avani Hotel","December","2019","4","positive"
"Lovely well situated hotel","positive","Avani Hotel","October","2019","4","positive"
"Amfsa Conference","neutral","Avani Hotel","September","2019","5","positive"
"a bit noisy","negative","Avani Hotel","August","2019","3","neutral"
"Awesome 👍","positive","Avani Hotel","June","2019","5","positive"
"Quarta hospedagem em Windhoek","neutral","Avani Hotel","May","2019","3","neutral"
"Muito bem localizado","neutral","Avani Hotel","March","2019","5","positive"
"Windhoek","neutral","Avani Hotel","March","2019","4","positive"
"Business trip","neutral","Avani Hotel","January","2019","5","positive"
"My stay at Avani","neutral","Avani Hotel","January","2023","5","positive"
"Congiere","neutral","Avani Hotel","June","2023","5","positive"
"Central and comfortable ","positive","Avani Hotel","August","2023","3","neutral"
"Avani Rooftop Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Best Service and Cocktails","positive","Avani Hotel","July","2022","5","positive"
"Best place in Namibia","positive","Avani Hotel","January","2023","5","positive"
"Fantastic","positive","Avani Hotel","January","2023","5","positive"
"Ms. Azell Swartbooi","neutral","Avani Hotel","November","2022","5","positive"
"Mr Shipanga","neutral","Avani Hotel","November","2022","5","positive"
"Mr Paulus","neutral","Avani Hotel","January","2023","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Concierge","neutral","Avani Hotel","June","2023","5","positive"
"Very Good ","positive","Avani Hotel","June","2023","4","positive"
"Marvelous service ","positive","Avani Hotel","December","2023","4","positive"
"Mr De Juy","neutral","Avani Hotel","November","2022","5","positive"
"A 5 day and nights stayed at Avani","neutral","Avani Hotel","August","2023","5","positive"
"Mr","neutral","Avani Hotel","April","2022","5","positive"
"Mr","neutral","Avani Hotel","June","2022","5","positive"
"Avani one of the best places to stay at in Namibia Windhoek","positive","Avani Hotel","November","2022","5","positive"
"Wonderful staff making a great experience","positive","Avani Hotel","July","2022","5","positive"
"Stratos restaurant","neutral","Avani Hotel","January","2023","5","positive"
"Good Service ","positive","Avani Hotel","November","2023","5","positive"
"Stay","neutral","Avani Hotel","June","2022","5","positive"
"The excellent Avani","positive","Avani Hotel","June","2023","5","positive"
"My Avani stay","neutral","Avani Hotel","July","2022","4","positive"
"Amazing staff come here","positive","Avani Hotel","October","2022","5","positive"
"Mr","neutral","Avani Hotel","June","2022","5","positive"
"5 start service","neutral","Avani Hotel","October","2021","5","positive"
"Stratos","neutral","Avani Hotel","September","2023","5","positive"
"Mr Nambala","neutral","Avani Hotel","November","2022","5","positive"
"Great place","positive","Avani Hotel","December","2022","5","positive"
"Thanks front desk","positive","Avani Hotel","June","2023","5","positive"
"Stratos restaurant","neutral","Avani Hotel","February","2023","5","positive"
"Front desk service","neutral","Avani Hotel","June","2023","5","positive"
"Excellent service","positive","Avani Hotel","March","2023","5","positive"
"Great Service","positive","Avani Hotel","February","2023","5","positive"
"Stratos","neutral","Avani Hotel","September","2023","4","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Shanice","neutral","Avani Hotel","October","2023","4","positive"
"Great Cocktails","positive","Avani Hotel","February","2023","5","positive"
"Highly recommend","positive","Avani Hotel","December","2023","5","positive"
"A promising hotel in Windhoek","positive","Avani Hotel","December","2019","3","neutral"
"Excellent hotel","positive","Avani Hotel","May","2021","5","positive"
"Centrale","neutral","Avani Hotel","August","2019","3","neutral"
"New rooftop pool and sun deck","positive","Avani Hotel","March","2019","1","negative"
"Dunes Christmas Lunch","neutral","Avani Hotel","December","2023","5","positive"
"Best time in Namibia coming back to the hotel to lick my wounds ","negative","Avani Hotel","December","2023","5","positive"
"Amazing experience in one of the most homely hotels.","negative","Avani Hotel","October","2023","5","positive"
"Stratos","neutral","Avani Hotel","October","2023","5","positive"
"Awesome service very friendly and timeous","positive","Avani Hotel","August","2023","5","positive"
"Great  team work reception so friendlyperfect stay will come back againquick check-in and check outlovely place to st","positive","Avani Hotel","August","2023","5","positive"
"Great experience in the restaurant!","positive","Avani Hotel","August","2023","5","positive"
"Concierge","neutral","Avani Hotel","June","2023","5","positive"
"Business ","neutral","Avani Hotel","June","2023","5","positive"
"Reception","neutral","Avani Hotel","June","2023","5","positive"
"Great stay at avani","positive","Avani Hotel","June","2023","4","positive"
"Business","neutral","Avani Hotel","May","2023","5","positive"
"Excellent","positive","Avani Hotel","April","2023","4","positive"
"Awesome dinner","positive","Avani Hotel","March","2023","4","positive"
"Great service from Dunes restaurant","positive","Avani Hotel","March","2023","4","positive"
"NamRA","neutral","Avani Hotel","March","2023","5","positive"
"Excellent","positive","Avani Hotel","January","2023","5","positive"
"BIPA","neutral","Avani Hotel","February","2023","4","positive"
"Great check in","positive","Avani Hotel","January","2023","5","positive"
"Awesome service","positive","Avani Hotel","January","2023","5","positive"
"Chomie","neutral","Avani Hotel","January","2023","4","positive"
"Best service","positive","Avani Hotel","January","2023","4","positive"
"Sensational 👌🏾","positive","Avani Hotel","January","2023","5","positive"
"Thank you doriana","positive","Avani Hotel","January","2023","5","positive"
"Thanks Avani and Romeo Sikunga","positive","Avani Hotel","December","2022","5","positive"
"Excellent service","positive","Avani Hotel","November","2022","5","positive"
"Bonsela CC","neutral","Avani Hotel","November","2022","5","positive"
"Excellent service","positive","Avani Hotel","November","2022","5","positive"
"Great service","positive","Avani Hotel","October","2022","5","positive"
"Miss","neutral","Avani Hotel","October","2022","5","positive"
"Business Dinner","positive","Avani Hotel","October","2022","5","positive"
"Keep Rosy at reception cause she is the best and always on point and very well at doing her work I’m impressed.","positive","Avani Hotel","October","2022","5","positive"
"EDI Health Institute","neutral","Avani Hotel","October","2022","5","positive"
"Namforce life insurance","neutral","Avani Hotel","October","2022","5","positive"
"Ms. Sahle","neutral","Avani Hotel","September","2022","5","positive"
"Excellent stay","positive","Avani Hotel","August","2022","5","positive"
"Stratos","neutral","Avani Hotel","July","2022","5","positive"
"Mr.Immanuel Vendwanawa","neutral","Avani Hotel","June","2022","4","positive"
"Mrs","neutral","Avani Hotel","April","2022","5","positive"
"Enjoyed","positive","Avani Hotel","April","2021","5","positive"
"Schönes zentral gelegenes Hotel mit toller Dachterrasse","neutral","Avani Hotel","November","2019","4","positive"
"Conveniently situated ","positive","Avani Hotel","October","2019","3","neutral"
"Avani Hotel Windhoek","neutral","Avani Hotel","September","2019","4","positive"
"Not the best experience","positive","Avani Hotel","July","2019","3","neutral"
"Excellent","positive","Avani Hotel","June","2019","5","positive"
"We will return. ","neutral","Avani Hotel","May","2019","4","positive"
"Excellent","positive","Avani Hotel","April","2019","5","positive"
"Avani Hotel - Windhoek","neutral","Avani Hotel","March","2019","3","neutral"
"清潔感のあるホテル","neutral","Avani Hotel","January","2019","5","positive"
"Excellent","positive","Avani Hotel","February","2023","5","positive"
"Swapo Congress","neutral","Avani Hotel","November","2022","5","positive"
"Cloete","neutral","Avani Hotel","January","2023","5","positive"
"PH DESIKEYA","neutral","Avani Hotel","December","2023","5","positive"
"Stratos Restaurant","neutral","Avani Hotel","January","2023","5","positive"
"Chinese Lunar New Year","positive","Avani Hotel","January","2023","5","positive"
"Festive vacation","positive","Avani Hotel","December","2019","4","positive"
"Stratos","neutral","Avani Hotel","July","2023","4","positive"
"Evans K","neutral","Avani Hotel","January","2023","4","positive"
"Amazing server","positive","Avani Hotel","June","2023","5","positive"
"Mrs","neutral","Avani Hotel","November","2022","5","positive"
"Lovely service for Chinese New Year","positive","Avani Hotel","January","2023","5","positive"
"Great Service","positive","Avani Hotel","November","2022","5","positive"
"Avani nights ","neutral","Avani Hotel","October","2023","5","positive"
"Excellent stay","positive","Avani Hotel","July","2022","5","positive"
"Michaela","neutral","Avani Hotel","January","2023","5","positive"
"Wonderful Stay","positive","Avani Hotel","May","2022","5","positive"
"Bridal Party","positive","Avani Hotel","October","2022","5","positive"
"Excellent service ","positive","Avani Hotel","October","2022","4","positive"
"Mr","neutral","Avani Hotel","November","2022","5","positive"
"Stratos","neutral","Avani Hotel","May","2023","5","positive"
"College of surgeons of east central and southern Africa","neutral","Avani Hotel","December","2022","5","positive"
"A wonderful week spent at Avani. Thank you very much. Charmaine for your support. Keep up the good work.","positive","Avani Hotel","April","2023","5","positive"
"Mrs. Esme Hansen","neutral","Avani Hotel","October","2022","5","positive"
"It was 99.9% and the remainder is for pap not on your menu.","neutral","Avani Hotel","October","2022","5","positive"
"Great place in Windhoek","positive","Avani Hotel","August","2023","5","positive"
"Avani Hotel Windhoek Event","neutral","Avani Hotel","October","2022","4","positive"
"Stratos","neutral","Avani Hotel","July","2022","5","positive"
"Have good service and people are well good train how to treat customers. I will be always be my place to stay. Keep on w","positive","Avani Hotel","October","2023","5","positive"
"Justina is the sweetest!","neutral","Avani Hotel","October","2022","5","positive"
"Mr. Sheehama","neutral","Avani Hotel","December","2022","5","positive"
"Great food. Good view. Good service!","positive","Avani Hotel","October","2023","5","positive"
"Mr","neutral","Avani Hotel","April","2022","5","positive"
"Best of the rest and tops up to Avani hotel staff. From entry to departure  everything was awsome and excellent.","positive","Avani Hotel","October","2022","5","positive"
"Short stay","neutral","Avani Hotel","January","2023","5","positive"
"Stratos bar","neutral","Avani Hotel","September","2023","4","positive"
"Amazing Experience at Avani Hotels","positive","Avani Hotel","January","2022","5","positive"
"Mr Elton","neutral","Avani Hotel","June","2022","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Service at Avani rooftop","neutral","Avani Hotel","December","2023","5","positive"
"Excellent Night","positive","Avani Hotel","December","2023","5","positive"
"Excellent service","positive","Avani Hotel","November","2022","5","positive"
"Shaniceeeeee","neutral","Avani Hotel","December","2023","5","positive"
"Lovely stay","positive","Avani Hotel","November","2019","4","positive"
"Great view from the roof top bar","positive","Avani Hotel","March","2020","5","positive"
"Excellent Hotel","positive","Avani Hotel","August","2019","4","positive"
"Wonderful stay","positive","Avani Hotel","December","2023","5","positive"
"Shahid gave us great service. ","positive","Avani Hotel","October","2023","5","positive"
"Excellent service","positive","Avani Hotel","October","2023","5","positive"
"Nice if you are ok with perfume and smoke","positive","Avani Hotel","September","2023","3","neutral"
"Concierge","neutral","Avani Hotel","August","2023","5","positive"
"Concierge ","neutral","Avani Hotel","July","2023","5","positive"
"Concierge","neutral","Avani Hotel","June","2023","5","positive"
"Great food","positive","Avani Hotel","June","2023","5","positive"
"Pleasent","neutral","Avani Hotel","June","2023","5","positive"
"Stratos","neutral","Avani Hotel","June","2023","5","positive"
"Good Hotel in Windhoek","positive","Avani Hotel","November","2022","4","positive"
"Outstanding service indeed","positive","Avani Hotel","April","2023","4","positive"
"Great dinner at dunes restaurant","positive","Avani Hotel","March","2023","4","positive"
"Great check in","positive","Avani Hotel","February","2023","5","positive"
"Brandon-Lee","neutral","Avani Hotel","February","2023","4","positive"
"The Avani experience","neutral","Avani Hotel","February","2023","5","positive"
"MOHSS","neutral","Avani Hotel","February","2023","4","positive"
"Perfect","positive","Avani Hotel","January","2023","5","positive"
"Very nice","positive","Avani Hotel","January","2023","5","positive"
"Relaxing with good music","positive","Avani Hotel","January","2023","5","positive"
"Good","positive","Avani Hotel","January","2023","5","positive"
"Great check in","positive","Avani Hotel","December","2022","5","positive"
"Booked in at 3 am and out at 10. Wasn’t given the breakfast ending time Or any other information that we would need.","positive","Avani Hotel","December","2022","3","neutral"
"SWAPO PARTY","neutral","Avani Hotel","December","2022","5","positive"
"Botswana Prison Service","negative","Avani Hotel","November","2022","5","positive"
"Jean claude","neutral","Avani Hotel","November","2022","5","positive"
"Excellent service ","positive","Avani Hotel","November","2022","5","positive"
"Great experience at Avani","positive","Avani Hotel","October","2022","5","positive"
"Great service from banqueting department","positive","Avani Hotel","October","2022","5","positive"
"Bien situé mais un peu froid","neutral","Avani Hotel","October","2022","4","positive"
"Debmarine Namibia","neutral","Avani Hotel","October","2022","5","positive"
"The experience was amazing. Definitely recommendin them again for up coming  events.     The professionalism is amazing.","positive","Avani Hotel","October","2022","5","positive"
"Stratos","neutral","Avani Hotel","September","2022","5","positive"
"Gutes Hotel im Zentrum Windhoeks","neutral","Avani Hotel","September","2022","4","positive"
"Mr","neutral","Avani Hotel","August","2022","5","positive"
"Mr","neutral","Avani Hotel","July","2022","5","positive"
"MATHEUS SHIKONGO","neutral","Avani Hotel","May","2022","5","positive"
"Schönes Hotel mit gutem Service und tollem Ausblick über Windhoek","neutral","Avani Hotel","March","2022","4","positive"
"Tolle Aussicht vom Dachrestaurant","neutral","Avani Hotel","December","2020","3","neutral"
"I love the service you offer.Keep it up.","positive","Avani Hotel","November","2019","5","positive"
"E'il migliore?","neutral","Avani Hotel","October","2019","1","negative"
"Windhoek Avani Experience","neutral","Avani Hotel","September","2019","5","positive"
"Good Location Nice rooms","positive","Avani Hotel","July","2019","4","positive"
"Très bon hôtel à chaque visite","neutral","Avani Hotel","May","2019","5","positive"
"Perfect location!","positive","Avani Hotel","May","2019","5","positive"
"God location and good service","positive","Avani Hotel","February","2019","4","positive"
"Service","neutral","Avani Hotel","March","2019","2","negative"
"Home away from home","neutral","Avani Hotel","November","2022","5","positive"
"Nice rooms","positive","Avani Hotel","February","2020","3","neutral"
"One of the best in WIndhoek","positive","Avani Hotel","March","2023","5","positive"
"Excellent stay in Windhoek","positive","Avani Hotel","May","2022","5","positive"
"AVANI STRATOS - The Best Service By The Best Waitress.","positive","Avani Hotel","January","2023","5","positive"
"Best stay at Avani Hotel ","positive","Avani Hotel","November","2022","5","positive"
"Lenny","neutral","Avani Hotel","July","2023","4","positive"
"Avani Hotel review","neutral","Avani Hotel","August","2023","5","positive"
"My stay was and has always been great at Avani. The location is convenient and everything is within my reach","positive","Avani Hotel","December","2022","5","positive"
"Great Service With A Smile","positive","Avani Hotel","April","2023","5","positive"
"Excellent service ","positive","Avani Hotel","July","2023","5","positive"
"Comfortable stay rooms are cleaned and tied front desk are friendly staffs and willing to assist always","positive","Avani Hotel","July","2023","5","positive"
"Welcoming service","neutral","Avani Hotel","January","2023","5","positive"
"Great staff","positive","Avani Hotel","July","2023","5","positive"
"Great stay","positive","Avani Hotel","June","2023","5","positive"
"Exllent","neutral","Avani Hotel","November","2022","5","positive"
"Breakfast","positive","Avani Hotel","September","2022","5","positive"
"Great Conference Sevice Provision","positive","Avani Hotel","October","2022","5","positive"
"Stratos","neutral","Avani Hotel","November","2023","4","positive"
"Olivia N Nakale","neutral","Avani Hotel","November","2023","5","positive"
"Wonderful Place. Highly Recommend!","positive","Avani Hotel","January","2023","5","positive"
"Namibia stay","neutral","Avani Hotel","April","2022","5","positive"
"Review of hotel","neutral","Avani Hotel","November","2022","5","positive"
"Nice views","positive","Avani Hotel","January","2020","4","positive"
"Mr","neutral","Avani Hotel","January","2023","5","positive"
"The expérience at the hotel was out of this world","neutral","Avani Hotel","February","2023","5","positive"
"Great check in","positive","Avani Hotel","October","2022","5","positive"
"Mr. Kashinga","neutral","Avani Hotel","October","2022","5","positive"
"Excellent","positive","Avani Hotel","October","2022","5","positive"
"Hitachi Energy Day","neutral","Avani Hotel","October","2022","4","positive"
"Come and enjoy your stay with them","positive","Avani Hotel","November","2022","5","positive"
"Mr. Heikki","neutral","Avani Hotel","January","2023","5","positive"
"Very pleasant experience","positive","Avani Hotel","August","2023","5","positive"
"Stratos restaurant at Avani Hotel ","neutral","Avani Hotel","September","2023","5","positive"
"Business","neutral","Avani Hotel","October","2022","5","positive"
"Front office shalen and rejoice","positive","Avani Hotel","June","2023","5","positive"
"Excellent service","positive","Avani Hotel","February","2023","5","positive"
"Stratos","neutral","Avani Hotel","September","2023","4","positive"
"Ms","neutral","Avani Hotel","November","2022","5","positive"
"Stratos by Avani","neutral","Avani Hotel","February","2023","5","positive"
"Mondjila Project Advisory and Management","positive","Avani Hotel","December","2022","5","positive"
"Windhoek at night","neutral","Avani Hotel","January","2023","4","positive"
"Thanks Avani","positive","Avani Hotel","May","2021","5","positive"
"Excellent service","positive","Avani Hotel","January","2023","5","positive"
"Good vibes ","positive","Avani Hotel","February","2023","5","positive"
"Amazing Service","positive","Avani Hotel","June","2023","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Rundreisehotel","neutral","Avani Hotel","September","2019","3","neutral"
"Due notti a windoek","neutral","Avani Hotel","December","2019","4","positive"
"清潔。カジノ。立地最高。","neutral","Avani Hotel","August","2019","5","positive"
"Shahid is the best!!!","positive","Avani Hotel","December","2023","5","positive"
"Atmosphere and food are outstandingly adorable.","positive","Avani Hotel","November","2023","5","positive"
"Great service","positive","Avani Hotel","October","2023","5","positive"
"Top!","neutral","Avani Hotel","September","2023","5","positive"
"Excellent","positive","Avani Hotel","September","2023","5","positive"
"Restaurant Rooftop Terrace Avani Hotel","neutral","Avani Hotel","August","2023","5","positive"
"Concierge","neutral","Avani Hotel","July","2023","5","positive"
"Concierge ","neutral","Avani Hotel","June","2023","5","positive"
"Appreciation","positive","Avani Hotel","June","2023","5","positive"
"Good enough","positive","Avani Hotel","June","2023","4","positive"
"Debmarine","neutral","Avani Hotel","May","2023","5","positive"
"Mr. Peter Eliaser","neutral","Avani Hotel","May","2023","4","positive"
"Excellent job","positive","Avani Hotel","April","2023","4","positive"
"Staff and Hospitality Service","positive","Avani Hotel","March","2023","5","positive"
"Ministry of international relations","neutral","Avani Hotel","March","2023","4","positive"
"IRJA","neutral","Avani Hotel","February","2023","4","positive"
"Great stay at Avani","positive","Avani Hotel","February","2023","5","positive"
"Excellent service","positive","Avani Hotel","February","2023","4","positive"
"Thanks to beautiful restaurant with great service from Roswitha!","positive","Avani Hotel","January","2023","5","positive"
"Rosy thank you for your hospitality","positive","Avani Hotel","January","2023","5","positive"
"Sundowner at Stratos Avani","neutral","Avani Hotel","January","2023","5","positive"
"A review from a happy and satisfied guest.","positive","Avani Hotel","January","2023","5","positive"
"Amazing service","positive","Avani Hotel","January","2023","5","positive"
"Russel","neutral","Avani Hotel","December","2022","5","positive"
"Global Passport Education (GPE)","positive","Avani Hotel","December","2022","5","positive"
"Good service","positive","Avani Hotel","November","2022","4","positive"
"Excellent service","positive","Avani Hotel","November","2022","5","positive"
"Excellent service indeed","positive","Avani Hotel","November","2022","5","positive"
"What a welcome at the reception 👏🏾","positive","Avani Hotel","October","2022","5","positive"
"Jurgen","neutral","Avani Hotel","October","2022","5","positive"
"SLR","neutral","Avani Hotel","October","2022","5","positive"
"Beautiful Hotel","positive","Avani Hotel","October","2022","5","positive"
"Mr. Frank","neutral","Avani Hotel","October","2022","5","positive"
"Excellent service","positive","Avani Hotel","September","2022","5","positive"
"Slow service at the Pantry","negative","Avani Hotel","September","2022","2","negative"
"Namibia  Windhoek Hotel: AVANI","neutral","Avani Hotel","August","2022","5","positive"
"It's very impressed you can enjoy the weather on that place a very thankful to you guys keep it up","positive","Avani Hotel","July","2022","5","positive"
"El mejor hotel de namibia","neutral","Avani Hotel","May","2022","5","positive"
"It's excusite above excellent.","positive","Avani Hotel","December","2021","5","positive"
"Excellent","positive","Avani Hotel","March","2020","5","positive"
"Excellent service","positive","Avani Hotel","November","2019","5","positive"
"Tolle Dachterrasse","neutral","Avani Hotel","August","2019","4","positive"
"Nice hotel in central location","positive","Avani Hotel","July","2019","4","positive"
"Windhoek Business Trip 2019","neutral","Avani Hotel","July","2019","4","positive"
"Stay over in the heart of Windhoek","neutral","Avani Hotel","June","2019","3","neutral"
"Excellent hotel pour terminer un séjour avant de reprendre l'avion","positive","Avani Hotel","April","2019","4","positive"
"My stay in avani","neutral","Avani Hotel","April","2019","5","positive"
"Ingrid Lombard","neutral","Avani Hotel","March","2019","5","positive"
"Excellent staff services and facilities","positive","Avani Hotel","June","2022","5","positive"
"Namibia Family Visit","positive","Avani Hotel","February","2022","5","positive"
"Drinks","neutral","Avani Hotel","February","2023","5","positive"
"Not worth the price at all","positive","Avani Hotel","December","2023","3","neutral"
"A Vlogger's Dream!","positive","Avani Hotel","April","2021","5","positive"
"Poor service ","negative","Avani Hotel","September","2023","1","negative"
"Thank you for the SERVICE","positive","Avani Hotel","October","2022","5","positive"
"Momentum Metropolitan Namibia","positive","Avani Hotel","November","2022","5","positive"
"Good service ","positive","Avani Hotel","October","2023","5","positive"
"Excellent stay and felt like a king. Great feeling to have when far away from home.","positive","Avani Hotel","November","2023","4","positive"
"Really excellent service","positive","Avani Hotel","February","2023","5","positive"
"Cocktails at Stratos is the best service best in town.","positive","Avani Hotel","July","2022","5","positive"
"Loved the awesome friendly service… once again thank you team","positive","Avani Hotel","April","2023","5","positive"
"Beautiful city View","positive","Avani Hotel","February","2023","5","positive"
"Mr","neutral","Avani Hotel","November","2022","5","positive"
"Great location for business trips","positive","Avani Hotel","May","2023","5","positive"
"August Visit Pleasant Experience","positive","Avani Hotel","August","2023","5","positive"
"Amazing experience!!!","positive","Avani Hotel","October","2022","5","positive"
"Excellent","positive","Avani Hotel","November","2023","5","positive"
