"comment","comment_sentiment_category","hotel_name","month","year","rating_score","rating_category"
"Ne mérite pas ses 5 etoiles","neutral","Hilton Hotel","December","2019","4","positive"
"Exploiting the customers due to their monopoly in Windhoek","negative","Hilton Hotel","November","2019","1","negative"
"Great for functions","positive","Hilton Hotel","September","2019","5","positive"
"Good stay","positive","Hilton Hotel","July","2019","4","positive"
"Corporate Hotel with a fantastic roof terrace","positive","Hilton Hotel","April","2019","4","positive"
"Satisfied Guests","positive","Hilton Hotel","June","2019","4","positive"
"Treated like Royalty","positive","Hilton Hotel","May","2019","5","positive"
"an unexpected delight","positive","Hilton Hotel","May","2019","4","positive"
"Excellent Service Great Location","positive","Hilton Hotel","April","2019","4","positive"
"Bella vista","neutral","Hilton Hotel","February","2019","5","positive"
"The Home of Leisure Excellence!","positive","Hilton Hotel","January","2019","5","positive"
"Hilton Windhoek - tired and tatty","negative","Hilton Hotel","March","2023","2","negative"
"COVID impacts were tangible","neutral","Hilton Hotel","November","2020","3","neutral"
"Shocking Stay","negative","Hilton Hotel","December","2021","1","negative"
"Great 2 night stay!","positive","Hilton Hotel","June","2021","5","positive"
"Honest Review","positive","Hilton Hotel","November","2022","3","neutral"
"Overall good but no FREE airport transfer","positive","Hilton Hotel","September","2021","4","positive"
"Comfortable stay","positive","Hilton Hotel","February","2023","4","positive"
"Great place to stay after a safari","positive","Hilton Hotel","August","2023","5","positive"
"Convenient hotel. Maybe a little corporate ","positive","Hilton Hotel","October","2022","4","positive"
"Good location","positive","Hilton Hotel","September","2019","5","positive"
"Shabby looking furniture and broken appliances ","negative","Hilton Hotel","July","2019","3","neutral"
"Tolles Hotel immer gern wieder","neutral","Hilton Hotel","January","2019","4","positive"
"Goed hotel maar koud en bruin water","neutral","Hilton Hotel","February","2020","4","positive"
"Excellent rooms and service","positive","Hilton Hotel","September","2019","5","positive"
"Right stop before departure","positive","Hilton Hotel","April","2019","3","neutral"
"Paradise by the traffic light...","positive","Hilton Hotel","February","2019","5","positive"
"Typical Hilton downtown","neutral","Hilton Hotel","July","2023","4","positive"
"Business trip for work","positive","Hilton Hotel","August","2022","3","neutral"
"Nicht mehr wieder!","neutral","Hilton Hotel","November","2021","1","negative"
"Hotel ok essen sollte man woanders","neutral","Hilton Hotel","April","2021","4","positive"
"Gran Hotel en Windhoek","neutral","Hilton Hotel","January","2020","5","positive"
"Meeting 2019","neutral","Hilton Hotel","December","2019","3","neutral"
"Schönes Hotel in guter Lage.","neutral","Hilton Hotel","October","2019","4","positive"
"Good but not 5/5","positive","Hilton Hotel","September","2019","4","positive"
"Excellent service and relaxing executive lounge","positive","Hilton Hotel","August","2019","5","positive"
"Não recomendo","neutral","Hilton Hotel","July","2019","1","negative"
"Horrible Check-inn experiance. Staff very rude and impatient. Definately not up to the Hilton standards","negative","Hilton Hotel","June","2019","1","negative"
"Glad I chose it","positive","Hilton Hotel","May","2019","5","positive"
"Gute solide Hilton Qualität ","neutral","Hilton Hotel","April","2019","4","positive"
"Comfortable stay","positive","Hilton Hotel","April","2019","4","positive"
"Na ja","neutral","Hilton Hotel","February","2019","3","neutral"
"Excelente hotel","neutral","Hilton Hotel","January","2019","4","positive"
"Very average stay - we expected more from a Hilton","neutral","Hilton Hotel","March","2022","2","negative"
"Windhoek Hilton","neutral","Hilton Hotel","February","2022","1","negative"
"Good location nice service","positive","Hilton Hotel","January","2020","4","positive"
"Poor Standards ","negative","Hilton Hotel","January","2020","1","negative"
"Brilliant from A - Z","positive","Hilton Hotel","June","2022","5","positive"
